registry_id	entity_name	candidate_class	registrable_domain	scope_policy	policy_rationale	accepted_anchor_count	accepted_anchor_ids	authoritative_anchor_urls	browser_navigation_enumerated	initial_frontier_count	discovered_url_count	scope_completion_state	unresolved_reason
REG001	Ai007	RELEVANT_ONE_OFF_PRODUCT_VENDOR	ai007.io	THEME_SCOPED_PUBLIC_TAXONOMY	Specialized seller/marketplace product surface; bounded public feature/help/content taxonomy	1	PAGE001	https://www.ai007.io/	true	1	23	RECOVERY_REQUIRED	1 unresolved URL(s)
REG002	Aimarketcap	RELEVANT_ONE_OFF_PRODUCT_VENDOR	aimarketcap.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	Broad, multi-product, agency or general site; only anchor-connected marketplace/seller subtree	1	PAGE002	https://aimarketcap.ru/guides/nejroseti-dlya-marketplejsov/	true	1	3	COMPLETE_BOUNDED_FRONTIER	none
REG003	Ainsider	RELEVANT_ONE_OFF_PRODUCT_VENDOR	ainsider.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	Broad, multi-product, agency or general site; only anchor-connected marketplace/seller subtree	1	PAGE003	https://ainsider.ru/blog/ii-v-prodazhah/ii-agent-dlya-ozon-kak-avtomatizirovat-prodazhi-na-marketpleyse	true	1	1	COMPLETE_BOUNDED_FRONTIER	none
REG004	Albato	RELEVANT_ONE_OFF_PRODUCT_VENDOR	albato.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	Broad, multi-product, agency or general site; only anchor-connected marketplace/seller subtree	1	PAGE004	https://albato.ru/integration-openai-ozon	true	1	52	RECOVERY_REQUIRED	1 unresolved URL(s)
REG006	Apimonster	OTHER_RELEVANT_CONTEXT	apimonster.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	Broad, multi-product, agency or general site; only anchor-connected marketplace/seller subtree	3	PAGE006 | PAGE007 | PAGE008	https://apimonster.ru/connector/bundle/callparser/ozon/ | https://apimonster.ru/connector/bundle/openai/ozon/ | https://apimonster.ru/connector/bundle/openai/wildberries/	true	3	25	RECOVERY_REQUIRED	1 unresolved URL(s)
REG007	Ascn	RELEVANT_ONE_OFF_PRODUCT_VENDOR	ascn.ai	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	Broad, multi-product, agency or general site; only anchor-connected marketplace/seller subtree	1	PAGE009	https://ascn.ai/ru/blog-no-code/ii-agenty-dlya-marketpleysov	true	1	4	COMPLETE_BOUNDED_FRONTIER	none
REG008	Asibiont	SERVICE_OR_AGENCY	asibiont.com	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	Broad, multi-product, agency or general site; only anchor-connected marketplace/seller subtree	1	PAGE010	https://asibiont.com/blog/ozon-integration-with-ai-agent-automate-your-seller-operations-without-a-single-line-of-code	true	1	2	COMPLETE_BOUNDED_FRONTIER	none
REG009	Berkuz	RECURRING_PRODUCT_VENDOR	berkuz.ru	THEME_SCOPED_PUBLIC_TAXONOMY	Specialized seller/marketplace product surface; bounded public feature/help/content taxonomy	1	PAGE011	https://berkuz.ru/	true	1	5	RECOVERY_REQUIRED	3 unresolved URL(s)
REG011	Ilai	RECURRING_PRODUCT_VENDOR	ilai.io	THEME_SCOPED_PUBLIC_TAXONOMY	Specialized seller/marketplace product surface; bounded public feature/help/content taxonomy	1	PAGE013	https://ilai.io/	false	1	0	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	infosell.tech	THEME_SCOPED_PUBLIC_TAXONOMY	Specialized seller/marketplace product surface; bounded public feature/help/content taxonomy	1	PAGE014	https://infosell.tech/	false	1	0	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
