raw_phrase,normalized_phrase_conservative,source_stage,source_query_id,source_file,evidence_type,observed_count,seed_total_count,region,device,marketplace_scope,task_family_primary,task_family_secondary,intent_class,fit_class,contamination_flags,capability_state,observed_vs_inferred,lineage_notes,reconciliation_reason
ии для маркетплейсов,ии для маркетплейсов,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,TESTED_SEED,,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved tested_seed with independent conservative classification.
ии для маркетплейсов,ии для маркетплейсов,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,3381,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии для карточек маркетплейсов,ии для карточек маркетплейсов,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,1990,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F5,,product_card_work,ADJACENT,,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии для создания карточек для маркетплейсов,ии для создания карточек для маркетплейсов,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,775,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F5,,product_card_work,ADJACENT,,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии для маркетплейсов бесплатно,ии для маркетплейсов бесплатно,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,728,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии карточки для маркетплейсов бесплатно,ии карточки для маркетплейсов бесплатно,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,478,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F5,,product_card_work,ADJACENT,,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии инфографика для маркетплейсов,ии инфографика для маркетплейсов,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,309,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,AI_CREATIVE_GENERATION,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
создать карточки для маркетплейсов ии,создать карточки для маркетплейсов ии,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,292,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F5,,product_card_work,BOUNDARY,PURE_CARD_GENERATOR,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
карточка товара для маркетплейса ии,карточка товара для маркетплейса ии,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,290,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F5,,product_card_work,ADJACENT,,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии фото для маркетплейсов,ии фото для маркетплейсов,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,248,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,AI_CREATIVE_GENERATION,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии для создания карточек для маркетплейсов бесплатно,ии для создания карточек для маркетплейсов бесплатно,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,188,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F5,,product_card_work,ADJACENT,,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
карточки для маркетплейсов с помощью ии,карточки для маркетплейсов с помощью ии,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,152,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F5,,product_card_work,ADJACENT,,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии агенты для маркетплейсов,ии агенты для маркетплейсов,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,134,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F1,,ai_agent_category,CORE_FIT,,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
какой ии для маркетплейсов,какой ии для маркетплейсов,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,128,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F9,,tool_discovery_comparison,ADJACENT,,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
карточки товаров для маркетплейсов создание ии,карточки товаров для маркетплейсов создание ии,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,121,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F5,,product_card_work,ADJACENT,,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
сделать карточки для маркетплейсов ии,сделать карточки для маркетплейсов ии,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,116,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F5,,product_card_work,BOUNDARY,PURE_CARD_GENERATOR,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии картинки для маркетплейсов,ии картинки для маркетплейсов,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,113,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,AI_CREATIVE_GENERATION,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии генератор карточек для маркетплейсов,ии генератор карточек для маркетплейсов,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,112,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F5,,product_card_work,BOUNDARY,PURE_CARD_GENERATOR,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
делать карточки для маркетплейсов ии,делать карточки для маркетплейсов ии,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,107,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F5,,product_card_work,ADJACENT,,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
инфографика для маркетплейсов ии бесплатно,инфографика для маркетплейсов ии бесплатно,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,93,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,AI_CREATIVE_GENERATION,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии для фото маркетплейсов бесплатно,ии для фото маркетплейсов бесплатно,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,76,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,AI_CREATIVE_GENERATION,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
создать карточки для маркетплейсов онлайн с ии,создать карточки для маркетплейсов онлайн с ии,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,71,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F5,,product_card_work,BOUNDARY,PURE_CARD_GENERATOR,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии для создания картинок для маркетплейса,ии для создания картинок для маркетплейса,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,67,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,AI_CREATIVE_GENERATION,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
